district,week,y_true,horizon,model,yhat
022,2021-09-06,157.0,1,xgboost,167.24691772460938
022,2021-09-13,128.0,1,seasonal_naive,150.0
022,2021-09-13,128.0,1,sarima,151.3463197614004
022,2021-09-13,128.0,1,prophet,151.0644909698191
022,2021-09-13,128.0,1,xgboost,165.43540954589844
022,2021-09-20,135.0,1,seasonal_naive,133.0
022,2021-09-20,135.0,1,sarima,138.37388565338009
022,2021-09-20,135.0,1,prophet,151.0644909698191
022,2021-09-20,135.0,1,xgboost,152.2950897216797
022,2021-09-27,141.0,1,seasonal_naive,132.0
022,2021-09-27,141.0,1,sarima,138.74978621727976
022,2021-09-27,141.0,1,prophet,143.84706129773994
022,2021-09-27,141.0,1,xgboost,156.9382781982422
022,2021-10-04,150.0,1,seasonal_naive,146.0
022,2021-10-04,150.0,1,sarima,145.45314584886148
022,2021-10-04,150.0,1,prophet,143.84706129773994
022,2021-10-04,150.0,1,xgboost,156.1717071533203
022,2021-10-11,156.0,1,seasonal_naive,161.0
022,2021-10-11,156.0,1,sarima,161.0991901805035
022,2021-10-11,156.0,1,prophet,149.82567129179716
022,2021-10-11,156.0,1,xgboost,157.84906005859375
022,2021-10-18,150.0,1,seasonal_naive,157.0
022,2021-10-18,150.0,1,sarima,148.37313544510548
022,2021-10-18,150.0,1,prophet,149.82567129179716
022,2021-10-18,150.0,1,xgboost,153.45848083496094
022,2021-10-25,167.0,1,seasonal_naive,179.0
022,2021-10-25,167.0,1,sarima,159.51073074113697
022,2021-10-25,167.0,1,prophet,148.59444306841888
022,2021-10-25,167.0,1,xgboost,157.8866729736328
022,2021-11-01,117.0,1,seasonal_naive,155.0
022,2021-11-01,117.0,1,sarima,145.55059363790235
022,2021-11-01,117.0,1,prophet,148.59444306841888
022,2021-11-01,117.0,1,xgboost,148.23451232910156
022,2021-11-08,155.0,1,seasonal_naive,122.0
022,2021-11-08,155.0,1,sarima,130.14817193498237
022,2021-11-08,155.0,1,prophet,133.72529931945172
022,2021-11-08,155.0,1,xgboost,141.56398010253906
022,2021-11-15,130.0,1,seasonal_naive,126.0
022,2021-11-15,130.0,1,sarima,133.2607776592116
022,2021-11-15,130.0,1,prophet,133.72529931945172
022,2021-11-15,130.0,1,xgboost,139.5986328125
022,2021-11-22,147.0,1,seasonal_naive,156.0
022,2021-11-22,147.0,1,sarima,160.39322255657964
022,2021-11-22,147.0,1,prophet,128.5918446532121
022,2021-11-22,147.0,1,xgboost,155.20912170410156
022,2021-11-29,117.0,1,seasonal_naive,136.0
022,2021-11-29,117.0,1,sarima,136.36650095484148
022,2021-11-29,117.0,1,prophet,128.5918446532121
022,2021-11-29,117.0,1,xgboost,138.73196411132812
022,2021-12-06,119.0,1,seasonal_naive,146.0
022,2021-12-06,119.0,1,sarima,137.5366934317452
022,2021-12-06,119.0,1,prophet,130.64852375350614
022,2021-12-06,119.0,1,xgboost,149.2196502685547
022,2021-12-13,120.0,1,seasonal_naive,136.0
022,2021-12-13,120.0,1,sarima,125.59802378861096
022,2021-12-13,120.0,1,prophet,130.64852375350614
022,2021-12-13,120.0,1,xgboost,143.80108642578125
022,2021-12-20,145.0,1,seasonal_naive,138.0
022,2021-12-20,145.0,1,sarima,129.39191696697034
022,2021-12-20,145.0,1,prophet,130.03587123718455
022,2021-12-20,145.0,1,xgboost,159.73521423339844
022,2021-12-27,101.0,1,seasonal_naive,148.0
022,2021-12-27,101.0,1,sarima,131.67891962466035
022,2021-12-27,101.0,1,prophet,130.03587123718455
022,2021-12-27,101.0,1,xgboost,150.96856689453125
022,2022-01-03,102.0,1,seasonal_naive,131.0
022,2022-01-03,102.0,1,sarima,121.30327294123714
022,2022-01-03,102.0,1,prophet,125.39624733723883
022,2022-01-03,102.0,1,xgboost,149.0240936279297
022,2022-01-10,120.0,1,seasonal_naive,159.0
022,2022-01-10,120.0,1,sarima,126.56576247539834
022,2022-01-10,120.0,1,prophet,125.39624733723883
022,2022-01-10,120.0,1,xgboost,153.83924865722656
022,2022-01-17,130.0,1,seasonal_naive,128.0
022,2022-01-17,130.0,1,sarima,119.58096384396738
022,2022-01-17,130.0,1,prophet,122.45767148437608
022,2022-01-17,130.0,1,xgboost,152.60728454589844
022,2022-01-24,119.0,1,seasonal_naive,127.0
022,2022-01-24,119.0,1,sarima,112.98508986347052
022,2022-01-24,119.0,1,prophet,122.45767148437608
022,2022-01-24,119.0,1,xgboost,155.1107635498047
022,2022-01-31,130.0,1,seasonal_naive,108.0
022,2022-01-31,130.0,1,sarima,104.37006593176838
022,2022-01-31,130.0,1,prophet,120.3381985400801
022,2022-01-31,130.0,1,xgboost,137.2940673828125
022,2022-02-07,117.0,1,seasonal_naive,108.0
022,2022-02-07,117.0,1,sarima,117.36060906981363
022,2022-02-07,117.0,1,prophet,120.3381985400801
022,2022-02-07,117.0,1,xgboost,146.3517608642578
022,2022-02-14,119.0,1,seasonal_naive,147.0
022,2022-02-14,119.0,1,sarima,130.28329894848451
022,2022-02-14,119.0,1,prophet,113.59220778907996
022,2022-02-14,119.0,1,xgboost,138.24819946289062
022,2022-02-21,136.0,1,seasonal_naive,122.0
022,2022-02-21,136.0,1,sarima,124.034513835168
022,2022-02-21,136.0,1,prophet,113.59220778907996
022,2022-02-21,136.0,1,xgboost,151.99595642089844
022,2022-02-28,147.0,1,seasonal_naive,108.0
022,2022-02-28,147.0,1,sarima,118.45890138937938
022,2022-02-28,147.0,1,prophet,129.2363465513452
022,2022-02-28,147.0,1,xgboost,140.30392456054688
022,2022-03-07,103.0,1,seasonal_naive,119.0
022,2022-03-07,103.0,1,sarima,123.09915639046058
022,2022-03-07,103.0,1,prophet,129.2363465513452
022,2022-03-07,103.0,1,xgboost,147.70355224609375
022,2022-03-14,144.0,1,seasonal_naive,131.0
022,2022-03-14,144.0,1,sarima,117.3507681414074
022,2022-03-14,144.0,1,prophet,128.78047289077247
022,2022-03-14,144.0,1,xgboost,146.14950561523438
022,2022-03-21,146.0,1,seasonal_naive,134.0
022,2022-03-21,146.0,1,sarima,127.8383738389936
022,2022-03-21,146.0,1,prophet,128.78047289077247
022,2022-03-21,146.0,1,xgboost,156.35049438476562
022,2022-03-28,118.0,1,seasonal_naive,130.0
022,2022-03-28,118.0,1,sarima,126.15977513425436
022,2022-03-28,118.0,1,prophet,128.36046674879395
022,2022-03-28,118.0,1,xgboost,146.9547119140625
022,2022-04-04,121.0,1,seasonal_naive,146.0
022,2022-04-04,121.0,1,sarima,127.6431007476394
022,2022-04-04,121.0,1,prophet,128.36046674879395
022,2022-04-04,121.0,1,xgboost,148.0986328125
022,2022-04-11,139.0,1,seasonal_naive,140.0
022,2022-04-11,139.0,1,sarima,128.49203219126343
022,2022-04-11,139.0,1,prophet,130.24902657513792
022,2022-04-11,139.0,1,xgboost,148.75148010253906
022,2022-04-18,143.0,1,seasonal_naive,150.0
022,2022-04-18,143.0,1,sarima,142.11400850346692
022,2022-04-18,143.0,1,prophet,130.24902657513792
022,2022-04-18,143.0,1,xgboost,152.66490173339844
022,2022-04-25,139.0,1,seasonal_naive,117.0
022,2022-04-25,139.0,1,sarima,125.98094690649144
022,2022-04-25,139.0,1,prophet,143.6483807758337
022,2022-04-25,139.0,1,xgboost,163.98822021484375
022,2022-05-02,132.0,1,seasonal_naive,103.0
022,2022-05-02,132.0,1,sarima,127.95190035283896
022,2022-05-02,132.0,1,prophet,143.6483807758337
022,2022-05-02,132.0,1,xgboost,162.19659423828125
022,2022-05-09,124.0,1,seasonal_naive,161.0
022,2022-05-09,124.0,1,sarima,164.803233776801
022,2022-05-09,124.0,1,prophet,151.55693952930645
022,2022-05-09,124.0,1,xgboost,161.4135284423828
022,2022-05-16,151.0,1,seasonal_naive,123.0
022,2022-05-16,151.0,1,sarima,159.02986027595975
022,2022-05-16,151.0,1,prophet,151.55693952930645
022,2022-05-16,151.0,1,xgboost,161.13372802734375
022,2022-05-23,142.0,1,seasonal_naive,137.0
022,2022-05-23,142.0,1,sarima,149.12275506190434
022,2022-05-23,142.0,1,prophet,164.52091883019267
022,2022-05-23,142.0,1,xgboost,163.1992950439453
022,2022-05-30,147.0,1,seasonal_naive,151.0
022,2022-05-30,147.0,1,sarima,138.0809420053016
022,2022-05-30,147.0,1,prophet,164.52091883019267
022,2022-05-30,147.0,1,xgboost,164.60720825195312
022,2022-06-06,129.0,1,seasonal_naive,155.0
022,2022-06-06,129.0,1,sarima,145.05132725772594
022,2022-06-06,129.0,1,prophet,152.0901536825014
022,2022-06-06,129.0,1,xgboost,155.6234588623047
022,2022-06-13,156.0,1,seasonal_naive,141.0
022,2022-06-13,156.0,1,sarima,139.81224569308944
022,2022-06-13,156.0,1,prophet,152.0901536825014
022,2022-06-13,156.0,1,xgboost,162.71327209472656
022,2022-06-20,155.0,1,seasonal_naive,158.0
022,2022-06-20,155.0,1,sarima,152.26748963062414
022,2022-06-20,155.0,1,prophet,150.76063579095555
022,2022-06-20,155.0,1,xgboost,162.21551513671875
022,2022-06-27,166.0,1,seasonal_naive,138.0
022,2022-06-27,166.0,1,sarima,130.3067189519321
022,2022-06-27,166.0,1,prophet,150.76063579095555
022,2022-06-27,166.0,1,xgboost,155.1776885986328
